gender,job,child_in_family,activities,weekly_study_hours,Nationality,Score,Health,FamilyEDU,age,Predict
M,no,3,no,27,Russian,2.93,1,0,19,F
F,no,2,no,47,Russian,2.98,4,1,21,F
F,no,9,yes,13,Russian,2.98,2,0,22,F
F,no,5,no,3,Russian,3.01,5,0,20,F
M,no,5,no,10,Russian,3.04,3,1,19,F
F,no,2,no,26,Russian,3.07,1,1,19,F
M,no,3,yes,23,Russian,3.09,1,1,21,F
M,yes,2,yes,34,Russian,3.12,2,0,18,F
M,no,6,no,25,Russian,3.14,5,0,17,F
F,no,3,yes,18,Russian,3.14,2,0,22,F
F,no,2,no,7,Russian,3.15,2,1,18,F
M,no,1,no,7,Russian,3.15,1,1,20,F
F,yes,7,no,4,Russian,3.17,4,1,18,F
F,no,10,no,2,Russian,3.17,4,0,18,F
F,no,3,no,39,Russian,3.18,3,0,21,F
M,no,6,no,0,Russian,3.18,1,0,20,F
F,no,3,yes,30,Russian,3.19,3,0,21,F
M,no,2,yes,28,Russian,3.19,5,1,21,F
M,no,1,no,37,Russian,3.21,1,0,17,F
F,no,2,no,27,Russian,3.22,2,1,19,F
M,yes,3,no,15,Russian,3.22,1,0,19,F
M,no,8,no,4,Russian,3.24,2,1,22,F
F,no,9,no,2,Russian,3.24,2,1,18,F
M,no,9,no,1,Russian,3.24,4,1,19,F
F,no,4,no,35,Russian,3.25,4,0,21,F
F,no,5,no,22,Russian,3.25,3,1,17,F
M,no,3,no,34,Russian,3.26,5,0,21,F
M,no,0,no,23,Russian,3.26,1,1,19,F
M,no,1,yes,17,Russian,3.26,3,1,20,F
F,no,3,no,19,Russian,3.26,2,0,17,F
F,no,0,no,14,Russian,3.27,1,0,21,F
F,no,4,no,30,Russian,3.27,2,0,22,F
M,no,4,no,30,Russian,3.27,2,0,18,F
F,no,1,no,24,Russian,3.28,2,1,17,F
F,no,3,yes,31,Russian,3.29,5,1,17,F
F,no,1,no,21,Russian,3.29,4,1,20,F
M,no,2,yes,19,Russian,3.29,5,0,22,F
M,no,1,no,29,Russian,3.29,4,0,22,F
M,no,4,no,21,Russian,3.29,2,0,18,F
M,no,4,no,18,Russian,3.3,2,0,18,F
F,no,4,no,31,Russian,3.3,3,1,22,F
M,yes,7,no,4,Russian,3.31,2,0,22,F
F,yes,6,no,3,Russian,3.31,2,0,17,F
F,no,4,no,3,Russian,3.31,3,1,21,F
M,yes,4,no,3,Russian,3.31,1,0,17,F
M,yes,5,yes,5,Russian,3.31,3,0,18,F
F,no,5,yes,27,Russian,3.31,2,0,20,F
M,no,0,yes,28,Russian,3.32,2,1,22,F
F,no,4,no,32,Russian,3.32,3,1,21,F
F,no,0,no,14,Russian,3.32,1,0,18,F
M,no,6,yes,16,Russian,3.33,4,0,19,F
F,no,2,no,24,Russian,3.34,4,1,18,F
M,no,9,no,0,Russian,3.34,3,0,18,F
F,no,3,no,32,Russian,3.34,4,1,22,F
M,no,2,no,3,Russian,3.35,4,0,21,F
F,no,6,no,31,Russian,3.35,3,1,17,F
F,no,3,no,21,Russian,3.35,2,0,21,F
M,yes,2,no,18,Russian,3.35,3,0,19,F
M,no,7,no,26,Russian,3.36,1,1,17,F
M,no,4,no,23,Russian,3.36,3,1,22,F
F,no,2,no,1,Russian,3.36,2,0,20,F
F,no,5,no,33,Russian,3.36,3,0,19,F
M,no,7,no,2,Russian,3.36,2,1,17,F
F,no,1,no,34,Russian,3.37,3,0,20,F
M,no,2,no,18,Russian,3.37,5,1,21,F
F,yes,6,no,2,Russian,3.38,3,1,18,F
M,no,3,no,27,Russian,3.38,2,0,19,F
M,no,2,no,8,Russian,3.39,2,1,21,F
M,no,4,no,14,Russian,3.39,4,1,17,F
M,no,10,yes,22,Russian,3.39,1,0,17,F
F,no,1,no,15,Russian,3.4,4,1,22,F
F,yes,3,no,22,Russian,3.4,4,1,18,F
M,yes,10,no,1,Russian,3.4,3,0,21,F
M,yes,8,no,3,Russian,3.41,5,0,22,F
F,no,2,no,20,Russian,3.41,4,1,20,F
F,no,7,yes,27,Russian,3.41,1,0,18,F
F,no,3,no,24,Russian,3.41,3,0,19,F
F,no,1,yes,5,Russian,3.42,3,1,18,F
F,no,7,no,34,Russian,3.42,3,0,21,F
M,no,3,no,16,Russian,3.42,3,1,19,F
F,yes,3,no,3,Russian,3.42,5,1,18,F
F,no,1,no,15,Russian,3.42,2,1,19,F
F,no,7,no,11,Russian,3.43,4,1,19,F
M,no,7,no,32,Russian,3.43,5,0,22,F
M,no,3,no,28,Russian,3.44,5,1,18,F
M,no,1,no,24,Russian,3.44,1,1,18,F
F,no,2,no,9,Russian,3.44,3,0,21,F
F,no,3,yes,14,Russian,3.44,4,1,17,F
M,no,3,no,16,Russian,3.44,4,0,21,F
M,no,3,no,29,Russian,3.44,4,0,19,F
M,no,0,no,14,Russian,3.44,2,0,20,F
M,no,4,no,10,Russian,3.45,4,0,22,D
M,no,5,no,31,Russian,3.46,5,0,21,D
M,no,4,no,34,Russian,3.46,5,1,22,D
F,no,5,no,3,Russian,3.46,2,1,18,D
F,no,2,yes,34,Russian,3.46,3,0,18,D
F,no,3,yes,2,Russian,3.46,1,1,22,D
M,no,3,no,4,Russian,3.47,5,1,17,D
M,yes,0,no,28,Russian,3.47,4,0,19,D
F,no,0,no,5,Russian,3.47,4,0,18,D
F,no,2,no,4,Russian,3.47,3,0,22,D
F,no,2,no,25,Russian,3.47,4,1,21,D
M,no,5,no,29,Russian,3.47,2,1,20,D
M,yes,6,no,1,Russian,3.48,2,1,18,D
F,no,7,no,2,Russian,3.48,2,0,18,D
F,no,2,no,0,Russian,3.48,5,1,19,D
F,no,3,no,16,Russian,3.48,4,0,20,D
M,no,3,yes,31,Russian,3.49,2,1,18,D
F,no,1,no,4,Russian,3.49,3,1,20,D
M,no,5,yes,13,Russian,3.49,3,1,21,D
M,no,4,no,24,Russian,3.49,4,1,21,D
F,yes,9,no,2,Russian,3.49,3,0,17,D
M,yes,2,yes,4,Russian,3.49,1,0,19,D
F,no,1,no,22,Russian,3.49,3,0,21,D
M,no,6,yes,0,Russian,3.49,2,0,18,D
M,no,2,no,24,Russian,3.49,1,1,20,D
F,no,6,no,1,Russian,3.5,5,0,22,D
F,no,1,no,19,Russian,3.5,3,0,19,D
M,no,1,yes,19,Russian,3.5,2,1,19,D
F,no,6,no,5,Russian,3.5,3,1,21,D
F,yes,0,no,13,Russian,3.5,5,0,22,D
M,no,4,no,26,Russian,3.51,2,1,18,D
M,no,4,no,41,Russian,3.51,5,1,19,D
F,no,3,no,47,Russian,3.51,3,1,20,D
F,no,2,no,9,Russian,3.51,3,0,21,D
F,no,4,no,7,Russian,3.51,4,0,22,D
M,no,1,no,3,Russian,3.52,5,0,22,D
M,no,4,yes,14,Russian,3.52,1,1,19,D
F,no,4,no,26,Russian,3.52,5,0,22,D
M,no,6,yes,27,Russian,3.53,2,1,21,D
F,yes,5,no,25,Russian,3.53,2,0,18,D
F,yes,4,no,16,Russian,3.54,3,0,20,D
F,no,4,no,27,Russian,3.54,2,1,17,D
M,yes,6,no,0,Russian,3.54,1,0,22,D
M,no,1,no,3,Russian,3.54,4,0,22,D
F,no,2,no,6,Russian,3.54,1,1,21,D
M,no,2,no,12,Russian,3.55,5,1,20,D
