age,studytime,failures,famrel,freetime,ChildCount,health,CountProf,scorProf,sex_F,sex_M,job_no,job_yes,famhightedu_no,famhightedu_yes,activities_no,activities_yes,NationalITy_Russia,NationalITy_Russian,NationalITy_Ukraine,NationalITy_kyrgyzstan,PlaceofBirth_Moroccan,PlaceofBirth_Palestine,PlaceofBirth_Russia,PlaceofBirth_Russian,PlaceofBirth_SaudiArabia,PlaceofBirth_Tajikistani,PlaceofBirth_Ukraine,PlaceofBirth_kyrgyzstan,Predict
18,2,0,4,3,1,3,6,3.15,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
17,2,0,5,3,1,3,5,3.06,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,3,4,3,2,3,8,4.1,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,3,0,3,2,1,5,14,3.03,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
19,2,0,4,3,1,5,10,4.04,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,5,4,1,5,20,4.51,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,0,4,2,1,1,18,3.8,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
20,2,0,3,3,1,2,8,4.21,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,F
20,3,0,5,2,1,4,12,3.67,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
20,1,0,4,3,1,5,14,4.19,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,3,5,4,1,3,10,4.69,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,A
20,3,0,4,5,1,3,19,4.25,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
19,1,0,4,4,1,2,14,3.13,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,5,3,1,4,10,3.54,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
17,1,3,5,5,2,5,5,4.07,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,2,0,4,4,1,1,14,4.43,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
19,2,0,4,5,1,5,20,3.19,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,5,4,2,5,13,4.73,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,3,2,4,3,1,5,9,4.58,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
19,1,2,1,2,1,5,9,3.31,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,0,4,2,1,5,12,4.6,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,0,2,2,2,1,19,4.21,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,5,3,1,5,11,4.84,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,3,5,4,3,5,11,4.82,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
20,2,0,4,3,1,5,19,3.92,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,2,0,4,5,1,5,19,4.56,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,0,5,3,1,2,10,3.05,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,1,2,5,4,1,5,14,3.62,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,1,0,3,5,1,5,7,4.2,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,3,0,5,4,1,4,19,4.36,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,3,0,4,3,1,5,12,4.62,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,0,4,3,1,2,13,4.27,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,1,3,3,1,3,10,4.22,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,1,3,5,4,2,5,12,4.7,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,0,4,3,1,5,18,3.61,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,1,0,5,4,1,1,8,3.77,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,3,4,3,2,5,10,3.63,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,0,5,2,1,5,8,3.44,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
19,2,0,2,3,1,3,12,3.39,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,4,3,4,2,1,2,19,4.24,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,2,0,4,3,2,5,20,3.66,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,1,4,4,1,3,7,3.24,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,0,4,3,1,5,13,3.85,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,1,1,5,5,3,5,11,4.57,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,1,0,3,3,2,5,10,4.87,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,5,3,1,2,9,3.64,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
20,2,0,4,3,1,1,20,3.49,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,3,3,2,1,5,20,3.19,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
20,2,0,4,3,1,5,10,4.9,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,2,1,5,19,4.61,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,2,4,2,4,11,4.31,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,1,4,4,1,1,10,3.38,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,3,4,2,4,9,3.68,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,0,4,4,2,2,10,3.8,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,1,5,4,1,1,20,3.99,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,4,0,4,3,1,5,7,3.11,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,F
20,4,1,4,4,2,3,19,3.92,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,4,0,4,3,1,5,20,4.76,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
20,4,0,3,3,1,3,10,4.54,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,2,3,3,2,5,6,4.63,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,1,1,5,3,2,5,12,4.16,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,3,2,5,12,4.29,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,C
20,2,0,4,3,2,5,9,4.67,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,4,0,3,4,1,1,11,3.09,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
19,4,1,5,2,1,3,11,4.44,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,A
17,1,3,4,5,1,3,8,3.85,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,2,4,1,3,5,4.58,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,0,3,2,1,3,12,3.72,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
20,3,1,5,3,1,5,10,4.59,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,0,4,4,1,5,6,3.61,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
20,2,0,5,3,1,4,20,3.3,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,0,4,3,2,4,10,4.13,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
